Time (CET/CEST);NO2-NO1;NO2_hydro_river;NO2_hydro_storage;NO1_actual_load
01.01.2022 00:00 - 01.01.2022 01:00;1300;627;1874;4779
01.01.2022 01:00 - 01.01.2022 02:00;1242;629;1874;4701
01.01.2022 02:00 - 01.01.2022 03:00;1222;627;2012;4681
01.01.2022 03:00 - 01.01.2022 04:00;1679;624;1643;4620
01.01.2022 04:00 - 01.01.2022 05:00;1668;624;1631;4645
01.01.2022 05:00 - 01.01.2022 06:00;1697;605;1642;4670
01.01.2022 06:00 - 01.01.2022 07:00;1657;593;1623;4802
01.01.2022 07:00 - 01.01.2022 08:00;1605;589;1502;4879
01.01.2022 08:00 - 01.01.2022 09:00;1776;593;1506;5041
01.01.2022 09:00 - 01.01.2022 10:00;2015;606;1567;5138
01.01.2022 10:00 - 01.01.2022 11:00;2217;608;1632;5311
01.01.2022 11:00 - 01.01.2022 12:00;2392;615;1900;5443
01.01.2022 12:00 - 01.01.2022 13:00;2266;614;1749;5447
01.01.2022 13:00 - 01.01.2022 14:00;2089;608;1688;5423
01.01.2022 14:00 - 01.01.2022 15:00;2022;610;2027;5517
01.01.2022 15:00 - 01.01.2022 16:00;2123;602;2260;5616
01.01.2022 16:00 - 01.01.2022 17:00;1824;602;2697;5693
01.01.2022 17:00 - 01.01.2022 18:00;1595;604;3837;5756
01.01.2022 18:00 - 01.01.2022 19:00;1303;610;4023;5622
01.01.2022 19:00 - 01.01.2022 20:00;1162;624;3273;5473
01.01.2022 20:00 - 01.01.2022 21:00;1215;630;2582;5384
01.01.2022 21:00 - 01.01.2022 22:00;1183;637;2291;5243
01.01.2022 22:00 - 01.01.2022 23:00;1085;637;2009;5030
01.01.2022 23:00 - 02.01.2022 00:00;1364;637;1717;4862
02.01.2022 00:00 - 02.01.2022 01:00;853;575;1542;4735
02.01.2022 01:00 - 02.01.2022 02:00;816;556;1666;4594
02.01.2022 02:00 - 02.01.2022 03:00;769;551;1628;4501
02.01.2022 03:00 - 02.01.2022 04:00;772;547;1570;4450
02.01.2022 04:00 - 02.01.2022 05:00;613;559;1368;4393
02.01.2022 05:00 - 02.01.2022 06:00;427;560;1233;4427
02.01.2022 06:00 - 02.01.2022 07:00;341;567;1296;4484
02.01.2022 07:00 - 02.01.2022 08:00;569;566;1616;4574
02.01.2022 08:00 - 02.01.2022 09:00;572;560;1772;4698
02.01.2022 09:00 - 02.01.2022 10:00;643;561;1929;4839
02.01.2022 10:00 - 02.01.2022 11:00;906;557;2271;4947
02.01.2022 11:00 - 02.01.2022 12:00;1086;598;2786;5056
02.01.2022 12:00 - 02.01.2022 13:00;1244;591;2705;5109
02.01.2022 13:00 - 02.01.2022 14:00;1254;589;2832;5123
02.01.2022 14:00 - 02.01.2022 15:00;1121;595;2945;5153
02.01.2022 15:00 - 02.01.2022 16:00;1343;605;2992;5222
02.01.2022 16:00 - 02.01.2022 17:00;1273;605;2921;5347
02.01.2022 17:00 - 02.01.2022 18:00;1012;611;3134;5300
02.01.2022 18:00 - 02.01.2022 19:00;1174;619;3313;5195
02.01.2022 19:00 - 02.01.2022 20:00;1361;615;2836;5057
02.01.2022 20:00 - 02.01.2022 21:00;2050;599;2166;5046
02.01.2022 21:00 - 02.01.2022 22:00;2306;598;2018;4980
02.01.2022 22:00 - 02.01.2022 23:00;2249;583;2010;4808
02.01.2022 23:00 - 03.01.2022 00:00;2221;573;1736;4606
